call_id,source_system,call_timestamp,wait_time_sec,resolution_status,agent_id,caller_intent
CALL-000035,Cloud_Modern_Connect,2025-05-09T01:43:00,124.46,Resolved,AGT-437,Pharmacy
CALL-000036,Cloud_Modern_Connect,2025-11-12T12:31:00,54.25,Resolved,AGT-679,Benefits
CALL-000037,Legacy_Avaya,11/30/2025 08:47:00,473.25,Resolved,AGT-234,Mental Health
CALL-000038,Cloud_Modern_Connect,2025-06-28T06:07:00,82.17,Resolved,AGT-137,Pharmacy
CALL-000039,Legacy_Avaya,10/05/2025 03:51:00,415.57,Escalated,AGT-897,Benefits
CALL-000040,Cloud_Modern_Connect,2025-09-14T15:59:00,52.24,Resolved,AGT-915,Mental Health
CALL-000041,Cloud_Modern_Connect,2025-11-21T06:40:00,99.11,Dropped,AGT-991,Benefits
CALL-000042,Cloud_Modern_Connect,2025-04-02T05:33:00,115.5,,AGT-215,Mental Health
CALL-000043,Legacy_Avaya,07/06/2025 06:46:00,234.24,Resolved,AGT-117,Benefits
CALL-000044,Legacy_Avaya,09/12/2025 02:10:00,385.03,Resolved,AGT-387,Mental Health
CALL-000045,Cloud_Modern_Connect,2025-02-09T13:18:00,206.31,Resolved,AGT-910,Pharmacy
CALL-000046,Legacy_Avaya,04/15/2025 08:22:00,309.89,Resolved,AGT-507,Benefits
CALL-000047,Legacy_Oracle,06/22/2025 17:10:00,350.76,Escalated,AGT-420,General Inquiry
CALL-000048,Cloud_Modern_Connect,2025-12-03T07:39:00,104.03,Resolved,AGT-453,Pharmacy
CALL-000049,Legacy_Avaya,06/09/2025 21:09:00,264.08,Resolved,AGT-289,Benefits
CALL-000050,Cloud_Modern_Connect,2025-06-08T06:17:00,67.72,Resolved,AGT-152,General Inquiry
CALL-000051,Legacy_Oracle,09/19/2025 16:36:00,328.63,Escalated,AGT-983,Pharmacy
CALL-000052,Cloud_Modern_Connect,2025-02-21T01:23:00,210.29,,AGT-205,Pharmacy
CALL-000053,Legacy_Oracle,08/28/2025 12:14:00,316.76,Escalated,AGT-445,Benefits
CALL-000054,Legacy_Oracle,07/06/2025 04:13:00,517.99,Resolved,AGT-740,Pharmacy
CALL-000055,Cloud_Modern_Connect,2025-05-04T02:07:00,308.56,Resolved,AGT-371,Benefits
CALL-000056,Cloud_Modern_Connect,2025-06-25T12:44:00,134.76,Resolved,AGT-755,Mental Health
CALL-000057,Cloud_Modern_Connect,2025-09-04T22:52:00,82.72,Resolved,AGT-650,General Inquiry
CALL-000058,Legacy_Oracle,02/11/2025 01:01:00,424.89,Resolved,AGT-857,Benefits
CALL-000059,Cloud_Modern_Connect,2025-10-28T22:54:00,326.39,Dropped,AGT-707,Benefits
CALL-000060,Cloud_Modern_Connect,2025-10-04T06:27:00,150.74,Dropped,AGT-259,Mental Health
CALL-000061,Cloud_Modern_Connect,2025-09-03T17:04:00,111.92,Resolved,AGT-712,General Inquiry
CALL-000062,Legacy_Avaya,01/27/2025 14:24:00,425.74,Resolved,AGT-384,Benefits
CALL-000063,Legacy_Oracle,07/04/2025 09:17:00,109.11,Resolved,AGT-134,Mental Health
CALL-000064,Legacy_Oracle,08/23/2025 08:57:00,270.31,Resolved,AGT-295,Pharmacy
CALL-000065,Cloud_Modern_Connect,2025-04-20T03:24:00,138.93,Resolved,AGT-291,Mental Health
CALL-000066,Cloud_Modern_Connect,2025-03-01T17:19:00,94.02,Resolved,AGT-195,General Inquiry
CALL-000067,Cloud_Modern_Connect,2025-10-23T14:55:00,84.07,Escalated,AGT-972,Pharmacy
CALL-000068,Cloud_Modern_Connect,2025-05-04T15:11:00,211.54,Resolved,AGT-118,Benefits
CALL-000069,Legacy_Oracle,05/16/2025 10:04:00,552.69,Resolved,AGT-554,General Inquiry
CALL-000070,Cloud_Modern_Connect,2025-10-23T12:03:00,333.3,Resolved,AGT-124,General Inquiry
CALL-000071,Cloud_Modern_Connect,2025-08-13T02:30:00,207.29,Resolved,AGT-792,Pharmacy
CALL-000072,Cloud_Modern_Connect,2025-09-01T11:25:00,309.38,Resolved,AGT-687,Benefits
CALL-000073,Cloud_Modern_Connect,2025-06-11T01:15:00,104.37,Resolved,AGT-492,Pharmacy
CALL-000074,Cloud_Modern_Connect,2025-12-26T05:53:00,104.74,Resolved,AGT-438,General Inquiry
CALL-000075,Legacy_Avaya,04/20/2025 09:04:00,540.18,Resolved,AGT-426,Benefits
CALL-000076,Cloud_Modern_Connect,2025-12-26T16:03:00,54.03,Resolved,AGT-190,Pharmacy
CALL-000077,Cloud_Modern_Connect,2025-12-05T12:22:00,84.36,Resolved,AGT-853,General Inquiry
CALL-000078,Cloud_Modern_Connect,2025-01-22T01:55:00,234.31,,AGT-290,General Inquiry
CALL-000079,Legacy_Avaya,05/29/2025 13:20:00,211.8,,AGT-655,Benefits
CALL-000080,Cloud_Modern_Connect,2025-03-30T23:48:00,172.38,Dropped,AGT-863,Benefits
CALL-000081,Legacy_Avaya,10/22/2025 03:30:00,584.65,Resolved,AGT-332,Benefits
CALL-000082,Cloud_Modern_Connect,2025-12-14T23:48:00,45.36,Dropped,AGT-429,General Inquiry
CALL-000083,Legacy_Oracle,09/27/2025 11:23:00,153.38,Resolved,AGT-221,General Inquiry
CALL-000084,Cloud_Modern_Connect,2025-09-10T21:27:00,270.87,Resolved,AGT-831,Benefits
CALL-000085,Cloud_Modern_Connect,2025-12-12T12:42:00,128.88,Escalated,AGT-831,General Inquiry
CALL-000086,Legacy_Oracle,04/25/2025 21:01:00,138.1,Dropped,AGT-982,General Inquiry
CALL-000087,Cloud_Modern_Connect,2025-03-31T21:53:00,327.1,Dropped,AGT-350,Benefits
CALL-000088,Legacy_Oracle,12/31/2025 19:03:00,288.23,Escalated,AGT-323,Mental Health
CALL-000089,Legacy_Oracle,07/18/2025 14:17:00,290.45,,AGT-894,Benefits
CALL-000090,Cloud_Modern_Connect,2025-03-15T07:30:00,117.91,Escalated,AGT-870,Benefits
CALL-000091,Cloud_Modern_Connect,2025-05-20T01:24:00,66.98,Escalated,AGT-244,Benefits
CALL-000092,Legacy_Avaya,01/27/2025 22:05:00,225.72,Resolved,AGT-871,Pharmacy
CALL-000093,Cloud_Modern_Connect,2025-03-06T00:33:00,48.6,Resolved,AGT-217,Mental Health
CALL-000094,Cloud_Modern_Connect,2025-03-29T10:37:00,78.26,Resolved,AGT-723,Mental Health
CALL-000095,Legacy_Oracle,01/31/2025 17:18:00,492.33,Resolved,AGT-174,Mental Health
CALL-000096,Cloud_Modern_Connect,2025-08-16T07:59:00,16.92,Dropped,AGT-407,Benefits
CALL-000097,Cloud_Modern_Connect,2025-07-31T10:22:00,258.79,Resolved,AGT-662,Benefits
CALL-000098,Cloud_Modern_Connect,2025-10-28T17:07:00,226.35,Resolved,AGT-168,Pharmacy
CALL-000099,Cloud_Modern_Connect,2025-01-04T20:49:00,89.25,Resolved,AGT-851,Mental Health
CALL-000100,Legacy_Oracle,12/13/2025 10:30:00,392.38,Resolved,AGT-619,General Inquiry
CALL-000101,Legacy_Oracle,04/30/2025 15:52:00,548.39,Resolved,AGT-192,General Inquiry
CALL-000102,Legacy_Oracle,10/17/2025 16:50:00,510.9,Resolved,AGT-781,Benefits
CALL-000103,Legacy_Oracle,04/01/2025 16:00:00,367.21,Resolved,AGT-145,Pharmacy
CALL-000104,Legacy_Oracle,03/05/2025 19:05:00,445.2,Resolved,AGT-348,Mental Health
CALL-000105,Cloud_Modern_Connect,2025-05-10T15:57:00,73.42,Dropped,AGT-107,Benefits
CALL-000106,Cloud_Modern_Connect,2025-12-27T07:42:00,38.33,Dropped,AGT-625,Pharmacy
CALL-000107,Cloud_Modern_Connect,2025-02-16T23:41:00,289.2,Resolved,AGT-106,Mental Health
CALL-000108,Cloud_Modern_Connect,2025-11-08T17:14:00,81.92,Resolved,AGT-605,Pharmacy
CALL-000109,Cloud_Modern_Connect,2025-04-26T22:06:00,124.52,Resolved,AGT-372,Mental Health
CALL-000110,Legacy_Oracle,07/05/2025 06:16:00,545.26,Resolved,AGT-679,Pharmacy
CALL-000111,Cloud_Modern_Connect,2025-09-26T04:33:00,66.72,Resolved,AGT-133,Mental Health
CALL-000112,Cloud_Modern_Connect,2025-02-26T10:24:00,11.17,Dropped,AGT-419,Pharmacy
CALL-000113,Legacy_Oracle,03/20/2025 04:21:00,402.89,Resolved,AGT-761,Benefits
CALL-000114,Legacy_Oracle,11/19/2025 11:34:00,343.9,Dropped,AGT-545,Pharmacy
CALL-000115,Cloud_Modern_Connect,2025-04-21T01:58:00,207.57,Resolved,AGT-642,General Inquiry
CALL-000116,Cloud_Modern_Connect,2025-07-30T19:31:00,61.65,Resolved,AGT-540,Pharmacy
CALL-000117,Cloud_Modern_Connect,2025-08-26T01:43:00,170.67,Escalated,AGT-744,Pharmacy
CALL-000118,Cloud_Modern_Connect,2025-02-14T16:03:00,123.27,Resolved,AGT-189,Pharmacy
CALL-000119,Legacy_Avaya,01/02/2025 07:57:00,177.18,Resolved,AGT-358,Benefits
CALL-000120,Legacy_Avaya,02/27/2025 01:40:00,131.69,,AGT-112,General Inquiry
CALL-000121,Cloud_Modern_Connect,2025-01-06T21:52:00,2.5,Resolved,AGT-876,Mental Health
CALL-000122,Legacy_Avaya,10/26/2025 05:54:00,274.43,Dropped,AGT-417,General Inquiry
CALL-000123,Cloud_Modern_Connect,2025-03-30T09:49:00,65.56,Escalated,AGT-671,General Inquiry
CALL-000124,Cloud_Modern_Connect,2025-06-29T00:42:00,31.35,Resolved,AGT-897,Mental Health
CALL-000125,Legacy_Oracle,12/29/2025 16:04:00,217.85,Resolved,AGT-673,General Inquiry
CALL-000126,Legacy_Avaya,11/28/2025 10:32:00,441.49,Resolved,AGT-715,Pharmacy
CALL-000127,Cloud_Modern_Connect,2025-08-21T23:24:00,205.57,Resolved,AGT-324,Mental Health
CALL-000128,Legacy_Avaya,10/13/2025 19:57:00,133.31,Resolved,AGT-138,Mental Health
CALL-000129,Legacy_Avaya,06/05/2025 10:10:00,413.85,Resolved,AGT-547,General Inquiry
CALL-000130,Cloud_Modern_Connect,2025-07-05T19:12:00,47.86,Dropped,AGT-519,Benefits
CALL-000131,Legacy_Oracle,01/23/2025 07:54:00,471.97,Resolved,AGT-697,Pharmacy
CALL-000132,Cloud_Modern_Connect,2025-06-18T23:22:00,71.72,Resolved,AGT-976,General Inquiry
CALL-000133,Cloud_Modern_Connect,2025-09-29T15:42:00,121.57,Resolved,AGT-146,General Inquiry
CALL-000134,Cloud_Modern_Connect,2025-07-16T08:33:00,102.13,Escalated,AGT-382,Benefits
CALL-000135,Cloud_Modern_Connect,2025-09-27T16:29:00,89.9,Resolved,AGT-811,Mental Health
CALL-000136,Legacy_Avaya,02/22/2025 19:57:00,407.48,Dropped,AGT-715,Pharmacy
CALL-000137,Legacy_Oracle,05/11/2025 13:34:00,463.05,Resolved,AGT-455,General Inquiry
CALL-000138,Cloud_Modern_Connect,2025-08-07T20:52:00,50.42,Resolved,AGT-150,Benefits
CALL-000139,Legacy_Oracle,11/17/2025 22:00:00,562.78,Resolved,AGT-913,Benefits
CALL-000140,Cloud_Modern_Connect,2025-04-03T03:57:00,141.15,Escalated,AGT-100,Mental Health
CALL-000141,Legacy_Avaya,10/28/2025 08:18:00,395.64,Resolved,AGT-408,Benefits
CALL-000142,Legacy_Oracle,01/10/2025 04:24:00,157.13,Resolved,AGT-701,Mental Health
CALL-000143,Cloud_Modern_Connect,2025-03-29T14:41:00,180.26,Resolved,AGT-862,Mental Health
CALL-000144,Legacy_Oracle,08/17/2025 22:30:00,182.76,Resolved,AGT-260,Benefits
CALL-000145,Cloud_Modern_Connect,2025-04-13T07:13:00,97.05,Resolved,AGT-183,Benefits
CALL-000146,Legacy_Oracle,08/07/2025 17:57:00,530.32,Resolved,AGT-459,Benefits
CALL-000147,Legacy_Avaya,10/30/2025 04:45:00,474.98,Resolved,AGT-822,Pharmacy
CALL-000148,Legacy_Oracle,02/11/2025 10:36:00,412.49,Resolved,AGT-243,General Inquiry
CALL-000149,Cloud_Modern_Connect,2025-10-24T08:32:00,81.52,Resolved,AGT-213,Pharmacy
CALL-000150,Cloud_Modern_Connect,2025-05-10T08:00:00,267.59,Resolved,AGT-742,General Inquiry
CALL-000151,Legacy_Avaya,05/08/2025 13:15:00,500.37,,AGT-899,Pharmacy
CALL-000152,Cloud_Modern_Connect,2025-03-18T02:15:00,166.96,Resolved,AGT-338,Benefits
CALL-000153,Legacy_Oracle,08/30/2025 11:39:00,219.09,Resolved,AGT-195,General Inquiry
CALL-000154,Cloud_Modern_Connect,2025-01-09T10:55:00,35.56,Resolved,AGT-568,Pharmacy
CALL-000155,Legacy_Avaya,10/13/2025 02:23:00,143.46,Resolved,AGT-772,Mental Health
CALL-000156,Cloud_Modern_Connect,2025-04-27T04:12:00,127.83,Dropped,AGT-808,General Inquiry
CALL-000157,Legacy_Avaya,06/10/2025 06:25:00,281.53,Resolved,AGT-631,Benefits
CALL-000158,Legacy_Avaya,05/15/2025 21:49:00,281.38,Dropped,AGT-966,General Inquiry
CALL-000159,Cloud_Modern_Connect,2025-06-28T06:33:00,183.66,,AGT-826,General Inquiry
CALL-000160,Legacy_Oracle,01/25/2025 23:14:00,356.23,Escalated,AGT-336,Benefits
CALL-000161,Legacy_Avaya,04/14/2025 07:17:00,517.47,,AGT-541,Benefits
CALL-000162,Legacy_Oracle,09/28/2025 00:22:00,441.59,Escalated,AGT-227,Benefits
CALL-000163,Cloud_Modern_Connect,2025-05-11T20:56:00,135.07,Escalated,AGT-698,Benefits
CALL-000164,Legacy_Oracle,02/05/2025 13:46:00,550.01,Dropped,AGT-267,Pharmacy
CALL-000165,Cloud_Modern_Connect,2025-08-22T13:26:00,17.6,Escalated,AGT-575,Pharmacy
CALL-000166,Cloud_Modern_Connect,2025-09-29T07:59:00,131.63,Resolved,AGT-470,Pharmacy
CALL-000167,Legacy_Oracle,12/23/2025 11:19:00,318.6,Dropped,AGT-286,Mental Health
CALL-000168,Cloud_Modern_Connect,2025-09-20T14:45:00,91.11,Resolved,AGT-857,Pharmacy
CALL-000169,Cloud_Modern_Connect,2025-10-16T04:48:00,124.88,Escalated,AGT-948,Pharmacy
CALL-000170,Cloud_Modern_Connect,2025-02-15T20:17:00,17.19,Resolved,AGT-172,Benefits
CALL-000171,Legacy_Avaya,10/01/2025 02:36:00,444.2,Resolved,AGT-138,Mental Health
CALL-000172,Cloud_Modern_Connect,2025-10-24T16:36:00,197.44,Escalated,AGT-668,Mental Health
CALL-000173,Cloud_Modern_Connect,2025-04-16T06:03:00,60.66,Dropped,AGT-875,Mental Health
CALL-000174,Cloud_Modern_Connect,2025-10-02T06:46:00,179.93,Dropped,AGT-367,Mental Health
CALL-000175,Cloud_Modern_Connect,2025-09-02T23:04:00,247.8,Resolved,AGT-877,General Inquiry
CALL-000176,Cloud_Modern_Connect,2025-08-10T03:00:00,12.19,Escalated,AGT-982,General Inquiry
CALL-000177,Legacy_Oracle,10/05/2025 17:53:00,472.53,Resolved,AGT-501,Mental Health
CALL-000178,Cloud_Modern_Connect,2025-03-04T05:33:00,79.87,Resolved,AGT-287,Benefits
CALL-000179,Legacy_Oracle,04/04/2025 02:15:00,320.52,Resolved,AGT-138,Mental Health
CALL-000180,Cloud_Modern_Connect,2025-08-01T23:31:00,57.6,Dropped,AGT-525,General Inquiry
CALL-000181,Legacy_Oracle,03/27/2025 20:18:00,535.05,Resolved,AGT-858,Benefits
CALL-000182,Cloud_Modern_Connect,2025-11-03T18:39:00,204.57,Resolved,AGT-913,General Inquiry
CALL-000183,Legacy_Oracle,08/14/2025 01:00:00,118.8,Resolved,AGT-371,General Inquiry
CALL-000184,Legacy_Avaya,10/08/2025 10:32:00,484.14,Resolved,AGT-458,General Inquiry
CALL-000185,Cloud_Modern_Connect,2025-01-23T17:33:00,99.31,Dropped,AGT-245,Pharmacy
CALL-000186,Cloud_Modern_Connect,2025-06-04T02:08:00,89.93,Resolved,AGT-498,Benefits
CALL-000187,Legacy_Avaya,12/15/2025 13:46:00,574.98,Escalated,AGT-479,Pharmacy
CALL-000188,Cloud_Modern_Connect,2025-12-14T00:42:00,92.67,Escalated,AGT-409,Benefits
CALL-000189,Cloud_Modern_Connect,2025-07-29T20:26:00,104.27,Resolved,AGT-852,Pharmacy
CALL-000190,Cloud_Modern_Connect,2025-03-24T07:33:00,145.46,Resolved,AGT-119,Pharmacy
CALL-000191,Cloud_Modern_Connect,2025-01-06T07:37:00,223.95,Resolved,AGT-244,General Inquiry
CALL-000192,Cloud_Modern_Connect,2025-01-06T11:46:00,54.72,Resolved,AGT-456,Pharmacy
CALL-000193,Legacy_Avaya,06/18/2025 11:35:00,232.8,Resolved,AGT-748,Mental Health
CALL-000194,Cloud_Modern_Connect,2025-07-20T01:15:00,54.8,Resolved,AGT-636,Benefits
CALL-000195,Cloud_Modern_Connect,2025-01-18T17:59:00,82.85,,AGT-787,Benefits
CALL-000196,Cloud_Modern_Connect,2025-03-02T09:48:00,108.12,Resolved,AGT-323,Pharmacy
CALL-000197,Cloud_Modern_Connect,2025-03-31T02:42:00,241.59,Resolved,AGT-361,General Inquiry
CALL-000198,Cloud_Modern_Connect,2025-01-14T15:03:00,35.45,Resolved,AGT-915,Benefits
CALL-000199,Legacy_Avaya,12/28/2025 11:47:00,409.31,Escalated,AGT-106,Benefits
CALL-000200,Cloud_Modern_Connect,2025-02-21T18:33:00,204.15,Escalated,AGT-536,Pharmacy
CALL-000201,Cloud_Modern_Connect,2025-10-14T02:43:00,92.84,Escalated,AGT-623,Mental Health
CALL-000202,Legacy_Oracle,12/06/2025 13:32:00,408.46,,AGT-116,General Inquiry
CALL-000203,Legacy_Avaya,04/27/2025 22:23:00,369.99,Escalated,AGT-425,Mental Health
CALL-000204,Cloud_Modern_Connect,2025-01-21T07:37:00,222.92,Resolved,AGT-136,Benefits
CALL-000205,Cloud_Modern_Connect,2025-11-01T16:35:00,82.79,Resolved,AGT-116,General Inquiry
CALL-000206,Legacy_Oracle,06/26/2025 08:53:00,410.46,Resolved,AGT-405,Pharmacy
CALL-000207,Cloud_Modern_Connect,2025-12-03T04:10:00,131.22,Resolved,AGT-745,Mental Health
CALL-000208,Legacy_Avaya,07/20/2025 20:26:00,441.65,Resolved,AGT-529,Pharmacy
CALL-000209,Cloud_Modern_Connect,2025-05-28T22:30:00,64.55,Escalated,AGT-174,General Inquiry
CALL-000210,Cloud_Modern_Connect,2025-12-18T01:18:00,214.5,,AGT-847,General Inquiry
CALL-000211,Legacy_Avaya,02/06/2025 23:48:00,554.76,Dropped,AGT-183,Pharmacy
CALL-000212,Cloud_Modern_Connect,2025-09-29T04:50:00,239.74,Resolved,AGT-626,Pharmacy
CALL-000213,Legacy_Oracle,06/15/2025 12:40:00,457.46,Resolved,AGT-591,General Inquiry
CALL-000214,Cloud_Modern_Connect,2025-07-17T00:27:00,122.38,Escalated,AGT-785,Pharmacy
CALL-000215,Cloud_Modern_Connect,2025-06-15T11:00:00,83.22,,AGT-657,Mental Health
CALL-000216,Legacy_Avaya,12/26/2025 23:09:00,399.16,Resolved,AGT-951,General Inquiry
CALL-000217,Cloud_Modern_Connect,2025-06-26T15:06:00,342.11,,AGT-265,General Inquiry
CALL-000218,Cloud_Modern_Connect,2025-02-14T15:28:00,73.04,Dropped,AGT-878,Pharmacy
CALL-000219,Cloud_Modern_Connect,2025-10-31T05:04:00,113.14,Resolved,AGT-191,General Inquiry
CALL-000220,Legacy_Avaya,01/16/2025 13:51:00,570.62,Resolved,AGT-324,Benefits
CALL-000221,Cloud_Modern_Connect,2025-06-02T14:04:00,44.7,Resolved,AGT-293,Pharmacy
CALL-000222,Cloud_Modern_Connect,2025-02-05T07:41:00,189.45,Resolved,AGT-971,Mental Health
CALL-000223,Legacy_Oracle,10/02/2025 09:41:00,397.39,Resolved,AGT-322,General Inquiry
CALL-000224,Legacy_Avaya,12/23/2025 10:47:00,573.68,Resolved,AGT-183,Pharmacy
CALL-000225,Cloud_Modern_Connect,2025-03-11T22:54:00,149.19,Dropped,AGT-489,Pharmacy
CALL-000226,Cloud_Modern_Connect,2025-03-10T14:58:00,295.64,Resolved,AGT-636,Benefits
CALL-000227,Cloud_Modern_Connect,2025-04-15T22:14:00,68.42,Escalated,AGT-832,Mental Health
CALL-000228,Legacy_Avaya,06/03/2025 10:51:00,377.68,Escalated,AGT-761,Benefits
CALL-000229,Cloud_Modern_Connect,2025-12-03T09:30:00,35.61,Resolved,AGT-306,Benefits
CALL-000230,Cloud_Modern_Connect,2025-12-28T02:24:00,150.39,Escalated,AGT-123,General Inquiry
CALL-000231,Cloud_Modern_Connect,2025-10-28T10:59:00,584.83,Resolved,AGT-349,Benefits
CALL-000232,Legacy_Avaya,07/20/2025 18:22:00,550.35,Resolved,AGT-854,Mental Health
CALL-000233,Legacy_Avaya,03/02/2025 04:12:00,205.33,Resolved,AGT-651,Benefits
CALL-000234,Cloud_Modern_Connect,2025-12-28T19:05:00,129.4,Dropped,AGT-698,Pharmacy
CALL-000235,Legacy_Oracle,07/25/2025 01:26:00,306.52,Resolved,AGT-652,Pharmacy
CALL-000236,Legacy_Oracle,07/26/2025 09:10:00,279.62,Resolved,AGT-937,Benefits
CALL-000237,Legacy_Avaya,12/25/2025 10:03:00,229.07,Resolved,AGT-548,General Inquiry
CALL-000238,Cloud_Modern_Connect,2025-10-09T19:24:00,51.58,Resolved,AGT-691,Pharmacy
CALL-000239,Legacy_Avaya,03/19/2025 09:33:00,172.88,Resolved,AGT-875,Mental Health
CALL-000240,Cloud_Modern_Connect,2025-09-15T15:20:00,51.92,Resolved,AGT-220,Mental Health
CALL-000241,Cloud_Modern_Connect,2025-07-12T20:27:00,226.66,Resolved,AGT-818,Pharmacy
CALL-000242,Legacy_Oracle,11/04/2025 20:44:00,117.09,,AGT-610,Benefits
CALL-000243,Cloud_Modern_Connect,2025-04-21T01:32:00,93.22,Resolved,AGT-584,Benefits
CALL-000244,Legacy_Oracle,04/22/2025 18:08:00,353.62,Resolved,AGT-589,General Inquiry
CALL-000245,Cloud_Modern_Connect,2025-04-02T21:11:00,21.73,Resolved,AGT-393,General Inquiry
CALL-000246,Legacy_Oracle,07/24/2025 15:40:00,171.77,Dropped,AGT-991,Mental Health
CALL-000247,Legacy_Oracle,12/14/2025 23:16:00,146.95,Resolved,AGT-451,Pharmacy
CALL-000248,Cloud_Modern_Connect,2025-02-03T13:20:00,144.28,Dropped,AGT-513,Pharmacy
CALL-000249,Legacy_Oracle,07/18/2025 18:33:00,534.45,Resolved,AGT-687,Mental Health
CALL-000250,Cloud_Modern_Connect,2025-08-08T14:05:00,114.66,Escalated,AGT-403,Benefits
CALL-000251,Cloud_Modern_Connect,2025-11-18T09:05:00,199.81,Resolved,AGT-588,Mental Health
CALL-000252,Cloud_Modern_Connect,2025-09-19T05:48:00,81.7,Dropped,AGT-118,Pharmacy
CALL-000253,Cloud_Modern_Connect,2025-06-20T03:34:00,236.87,Resolved,AGT-700,Benefits
CALL-000254,Legacy_Avaya,01/20/2025 06:03:00,404.92,Resolved,AGT-927,Benefits
CALL-000255,Legacy_Avaya,04/08/2025 05:19:00,286.63,Resolved,AGT-366,Mental Health
CALL-000256,Legacy_Oracle,11/11/2025 21:29:00,479.67,Resolved,AGT-184,Pharmacy
CALL-000257,Cloud_Modern_Connect,2025-01-22T18:28:00,81.09,Resolved,AGT-232,Pharmacy
CALL-000258,Cloud_Modern_Connect,2025-08-22T06:34:00,162.46,,AGT-120,Mental Health
CALL-000259,Legacy_Avaya,02/11/2025 02:22:00,135.64,,AGT-903,Mental Health
CALL-000260,Legacy_Avaya,11/24/2025 15:48:00,339.59,Resolved,AGT-433,Benefits
CALL-000261,Cloud_Modern_Connect,2025-05-22T07:42:00,151.53,Resolved,AGT-205,General Inquiry
CALL-000262,Cloud_Modern_Connect,2025-01-09T12:49:00,60.17,Resolved,AGT-450,General Inquiry
CALL-000263,Legacy_Oracle,02/20/2025 09:48:00,192.29,Resolved,AGT-340,Pharmacy
